RunID,SampleID,Position,Replicate,Date Made,Activity_Tgt,BatchID,Operator,Viscosity,pH,Activity
ELN_19_AB1234-1,Begin_1,Begin,1,2/1/2020,24.5,XM-2456,OG,1031.0,5.6,
ELN_19_AB1234-1,Begin_2,Begin,2,2/1/2020,24.5,XM-2456,OG,1026.0,5.9,
ELN_19_AB1234-1,Begin_3,Begin,3,2/1/2020,24.5,XM-2456,OG,1010.0,5.6,
ELN_19_AB1234-1,Middle_1,Middle,1,2/1/2020,24.5,XM-2456,OG,1001.0,5.6,
ELN_19_AB1234-1,Middle_2,Middle,2,2/1/2020,24.5,XM-2456,OG,991.0,5.6,
ELN_19_AB1234-1,Middle_3,Middle,3,2/1/2020,24.5,XM-2456,OG,1022.0,5.7,
ELN_19_AB1234-1,End_1,End,1,2/1/2020,24.5,XM-2456,OG,1008.0,5.6,
ELN_19_AB1234-1,End_2,End,2,2/1/2020,24.5,XM-2456,OG,985.0,5.7,
ELN_19_AB1234-1,End_3,End,3,2/1/2020,24.5,XM-2456,OG,982.0,5.5,
ELN_19_AB1234-1,1,,,2/1/2020,24.5,XM-2456,OG,,,25.0
ELN_19_AB1234-1,2,,,2/1/2020,24.5,XM-2456,OG,,,24.4
ELN_19_AB1234-1,3,,,2/1/2020,24.5,XM-2456,OG,,,24.7
ELN_19_AB1234-1,4,,,2/1/2020,24.5,XM-2456,OG,,,24.7
ELN_19_AB1234-1,5,,,2/1/2020,24.5,XM-2456,OG,,,24.1
ELN_19_AB1234-1,6,,,2/1/2020,24.5,XM-2456,OG,,,24.8
ELN_19_AB1234-1,7,,,2/1/2020,24.5,XM-2456,OG,,,24.4
ELN_19_AB1234-1,8,,,2/1/2020,24.5,XM-2456,OG,,,24.3
ELN_19_AB1234-1,9,,,2/1/2020,24.5,XM-2456,OG,,,24.5
ELN_19_AB1234-1,10,,,2/1/2020,24.5,XM-2456,OG,,,25.1
ELN_19_AB1234-2,Begin_1,Begin,1,2/5/2020,25.75,XM-2633,AB,1214.0,6.7,
ELN_19_AB1234-2,Begin_2,Begin,2,2/5/2020,25.75,XM-2633,AB,1232.0,6.5,
ELN_19_AB1234-2,Begin_3,Begin,3,2/5/2020,25.75,XM-2633,AB,1223.0,6.5,
ELN_19_AB1234-2,Middle_1,Middle,1,2/5/2020,25.75,XM-2633,AB,1189.0,6.5,
ELN_19_AB1234-2,Middle_2,Middle,2,2/5/2020,25.75,XM-2633,AB,1204.0,6.3,
ELN_19_AB1234-2,Middle_3,Middle,3,2/5/2020,25.75,XM-2633,AB,1202.0,6.5,
ELN_19_AB1234-2,End_1,End,1,2/5/2020,25.75,XM-2633,AB,1189.0,6.6,
ELN_19_AB1234-2,End_2,End,2,2/5/2020,25.75,XM-2633,AB,1182.0,6.6,
ELN_19_AB1234-2,End_3,End,3,2/5/2020,25.75,XM-2633,AB,1194.0,6.5,
ELN_19_AB1234-2,1,,,2/5/2020,25.75,XM-2633,AB,,,25.6
ELN_19_AB1234-2,2,,,2/5/2020,25.75,XM-2633,AB,,,24.8
ELN_19_AB1234-2,3,,,2/5/2020,25.75,XM-2633,AB,,,25.8
ELN_19_AB1234-2,4,,,2/5/2020,25.75,XM-2633,AB,,,26.0
ELN_19_AB1234-2,5,,,2/5/2020,25.75,XM-2633,AB,,,26.1
ELN_19_AB1234-2,6,,,2/5/2020,25.75,XM-2633,AB,,,25.9
ELN_19_AB1234-2,7,,,2/5/2020,25.75,XM-2633,AB,,,25.5
ELN_19_AB1234-2,8,,,2/5/2020,25.75,XM-2633,AB,,,25.6
ELN_19_AB1234-2,9,,,2/5/2020,25.75,XM-2633,AB,,,25.2
ELN_19_AB1234-2,10,,,2/5/2020,25.75,XM-2633,AB,,,26.0
